address,high,open,low,close,type,volume,ts,currency,date
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763510400,usd,2025-11-19
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763553600,usd,2025-11-19
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763596800,usd,2025-11-20
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763640000,usd,2025-11-20
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763683200,usd,2025-11-21
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763726400,usd,2025-11-21
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763769600,usd,2025-11-22
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763812800,usd,2025-11-22
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763856000,usd,2025-11-23
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763899200,usd,2025-11-23
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763942400,usd,2025-11-24
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1763985600,usd,2025-11-24
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764028800,usd,2025-11-25
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764072000,usd,2025-11-25
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764115200,usd,2025-11-26
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764158400,usd,2025-11-26
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764201600,usd,2025-11-27
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764244800,usd,2025-11-27
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764288000,usd,2025-11-28
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764331200,usd,2025-11-28
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764374400,usd,2025-11-29
7c3G2jxi1naZuNEZ6YZu1cEpwUE815AUQiHhaRQWpump,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,3.971755942449871e-06,12H,0,1764417600,usd,2025-11-29
