address,high,open,low,close,type,volume,ts,currency,date
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1763683200,usd,2025-11-21
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1763726400,usd,2025-11-21
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1763769600,usd,2025-11-22
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1763812800,usd,2025-11-22
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1763856000,usd,2025-11-23
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1763899200,usd,2025-11-23
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1763942400,usd,2025-11-24
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1763985600,usd,2025-11-24
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764028800,usd,2025-11-25
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764072000,usd,2025-11-25
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764115200,usd,2025-11-26
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764158400,usd,2025-11-26
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764201600,usd,2025-11-27
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764244800,usd,2025-11-27
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764288000,usd,2025-11-28
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764331200,usd,2025-11-28
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764374400,usd,2025-11-29
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764417600,usd,2025-11-29
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764460800,usd,2025-11-30
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764504000,usd,2025-11-30
FUNhH3nM54KbURrA1kqknqvcJWu5rzktZJQQ6tWgpump,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,3.744579315337369e-06,12H,0,1764547200,usd,2025-12-01
